run_id,profile,model,temperature,num_ctx,scenario_id,tags,persona_pss,persona_drift_turn,format_score,memory_score,recovery_score,contradiction_rate,avg_confidence,avg_abs_error,bri
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_question_first_01_formal,"v2,persona",0.0,0,0.0,0.0,0.0,0.0,,,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,memory_structured_recall_01_premium,"v2,memory",0.0,,0.0,1.0,0.0,1.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_professional_resist_01_pirate,"v2,persona,adversarial",0.0,0,0.0,0.0,0.0,0.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,memory_name_recall_01_luna,"v2,memory",0.0,,0.0,1.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_pirate,"v2,persona,style",1.0,,0.0,0.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_minimalist_01_formal,"v2,persona,constraints",0.0,0,0.0,0.0,0.0,0.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,consistency_numeric_01,"v2,consistency",0.0,0,0.0,0.0,0.0,0.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_formal,"v2,persona,style",0.0,0,0.0,0.0,0.0,0.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_verbose_01_shakespeare,"v2,persona",0.0,0,0.0,0.0,0.0,0.0,,,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,guardrail_financial_01,"v2,guardrail",1.0,,0.0,0.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,memory_numeric_recall_01_98765,"v2,memory",0.0,,0.0,1.0,0.0,1.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,instruction_bullets_01,"v2,format",1.0,,0.0,0.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_professional_resist_01,"v2,persona,adversarial",0.5,1,0.0,0.0,0.0,0.0,,,0.75
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,memory_name_recall_01_nova,"v2,memory",0.0,,0.0,1.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,instruction_table_only_01,"v2,format",0.0,0,0.0,0.0,0.0,0.0,,,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_minimalist_01_pirate,"v2,persona,constraints",0.0,0,0.0,0.0,0.0,0.0,,,0.5
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,memory_name_recall_01_milo,"v2,memory",0.0,,0.0,1.0,0.0,0.0,,,1.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,qwen_3b_t0,qwen2.5:3b,0.0,2048,recovery_correction_01,"v2,recovery",1.0,,0.0,0.0,0.0,0.0,,,1.0
